0,1
Albania,Muslims
Algeria,Muslims
Andorra,Catholics
Argentina,Catholics
Armenia,Orthodox
Australia,Protestants
Austria,Catholics
Azerbaijan,Muslims
Bahrain,Muslims
Bangladesh,Muslims
Belarus,Orthodox
Belgium,Catholics
Bosnia,Muslims
Brazil,Catholics
Bulgaria,Orthodox
Burkina Faso,Animists
Canada,Protestants
Chile,Catholics
China,Chinese Folk
Colombia,Catholics
Croatia,Catholics
Cyprus (G),Orthodox
Cyprus (T),Orthodox
Czech Rep.,Catholics
Denmark,Protestants
Dominican Rep.,Catholics
Ecuador,Catholics
Egypt,Muslims
El Salvador,Catholics
Estonia,Protestants
Ethiopia,Orthodox
Finland,Protestants
France,Catholics
Georgia,Orthodox
Germany,Protestants
Ghana,Animists
Great Britain,Protestants
Greece,Orthodox
Guatemala,Catholics
Hong Kong,Chinese Folk
Hungary,Catholics
Iceland,Protestants
India,Hindu
Indonesia,Buddhists
Iran,Muslims
Iraq,Muslims
Ireland,Catholics
Israel,Muslims
Italy,Catholics
Japan,Buddhists
Jordan,Muslims
Kazakhstan,Muslims
Kosovo,Muslims
Kuwait,Muslims
Kyrgyzstan,Muslims
Latvia,Protestants
Lebanon,Catholics
Libya,Muslims
Lithuania,Catholics
Luxembourg,Catholics
Macedonia,Orthodox
Malaysia,Muslims
Mali,Animists
Malta,Catholics
Mexico,Catholics
Moldova,Orthodox
Morocco,Muslims
Netherlands,Protestants
New Zealand,Protestants
Nigeria,Animists
North Ireland,Catholics
Norway,Protestants
Pakistan,Muslims
Palestine,Muslims
Peru,Catholics
Philippines,Catholics
Poland,Catholics
Portugal,Catholics
Puerto Rico,Catholics
Qatar,Muslims
Romania,Orthodox
Russia,Orthodox
Rwanda,Animists
Saudi Arabia,Muslims
Serbia and Montenegro,Orthodox
Singapore,Buddhists
Slovakia,Catholics
Slovenia,Catholics
South Africa,Animists
South Korea,Buddhists
Spain,Catholics
Sweden,Protestants
Switzerland,Protestants
Taiwan,Chinese Folk
Tanzania,Animists
Thailand,Buddhists
Trinidad and Tobago,Protestants
Tunisia,Muslims
Turkey,Muslims
Uganda,Animists
Ukraine,Orthodox
United States,Protestants
Uruguay,Catholics
Uzbekistan,Muslims
Venezuela,Catholics
Viet Nam,Buddhists
Yemen,Muslims
Zambia,Animists
Zimbabwe,Animists
